"subscription_id","customer_id","plan_name","monthly_fee","status","start_date","discount_percent"
1,DxSAVy,Residential,120,Paused,"2023-01-01",5
2,"5NXFhm",Business,250,Active,"2023-01-01",10
3,x2uJPT,Mini,50,Active,"2023-01-01",20
4,tB7Ut2,Mini,50,Active,"2023-01-01",0
5,i4A2yx,Mini,50,Cancelled,"2023-01-01",5
6,u27pCF,Residential,120,Paused,"2023-01-01",10
7,SylVYM,Roam,80,Active,"2023-01-01",20
8,Pdbbe3,Residential,120,Active,"2023-01-01",0
9,ZLANQw,Residential,120,Active,"2023-01-01",5
10,yjbWTZ,Mini,50,Active,"2023-01-01",10
11,aa0uHK,Residential,120,Active,"2023-01-01",20
12,UKx7ti,Residential,120,Active,"2023-01-01",0
13,skEuuT,Residential,120,Active,"2023-01-01",5
14,es67gS,Residential,120,Active,"2023-01-01",10
15,JMLMUA,Residential,120,Active,"2023-01-01",20
16,U9T9pj,Roam,80,Active,"2023-01-01",0
17,qSHy5g,Residential,120,Active,"2023-01-01",5
18,W13KgQ,Residential,120,Active,"2023-01-01",10
19,"5Kk3x9",Residential,120,Active,"2023-01-01",20
20,GWzwYV,Residential,120,Active,"2023-01-01",0
21,ByT8KG,Business,250,Active,"2023-01-01",5
22,dfr6n4,Business,250,Paused,"2023-01-01",10
23,hNk0Aq,Residential,120,Active,"2023-01-01",20
24,hOliKx,Mini,50,Cancelled,"2023-01-01",0
25,jLHaed,Roam,80,Active,"2023-01-01",5
26,LDhepH,Residential,120,Active,"2023-01-01",10
27,XP7tS6,Residential,120,Cancelled,"2023-01-01",20
28,nRIaQU,Residential,120,Active,"2023-01-01",0
29,U3jmDP,Residential,120,Active,"2023-01-01",5
30,w37dxn,Residential,120,Active,"2023-01-01",10
31,RhL75X,Roam,80,Paused,"2023-01-01",20
32,yQF57Q,Residential,120,Active,"2023-01-01",0
33,"0PBrlL",Residential,120,Active,"2023-01-01",5
34,"9gdxMv",Residential,120,Active,"2023-01-01",10
35,"5eSD5N",Mini,50,Active,"2023-01-01",20
36,wvOpOK,Residential,120,Cancelled,"2023-01-01",0
37,"3JOLXy",Business,250,Active,"2023-01-01",5
38,QciFoE,Residential,120,Active,"2023-01-01",10
39,LSmzQQ,Roam,80,Paused,"2023-01-01",20
40,MKHCDs,Mini,50,Active,"2023-01-01",0
41,HoXLTR,Residential,120,Active,"2023-01-01",5
42,Uy0CaS,Business,250,Active,"2023-01-01",10
43,s90M4M,Mini,50,Paused,"2023-01-01",20
44,"3YYwWY",Residential,120,Active,"2023-01-01",0
45,"7MGUjv",Residential,120,Active,"2023-01-01",5
46,mhfjNM,Business,250,Active,"2023-01-01",10
47,aB3Oeb,Residential,120,Active,"2023-01-01",20
48,Uw8vS2,Residential,120,Active,"2023-01-01",0
49,ndcqeg,Roam,80,Active,"2023-01-01",5
50,jtJzaQ,Business,250,Active,"2023-01-01",10
51,RfSoDu,Business,250,Active,"2023-01-01",20
52,NGsK0M,Roam,80,Active,"2023-01-01",0
53,CvAIQN,Residential,120,Active,"2023-01-01",5
54,XovcZU,Mini,50,Active,"2023-01-01",10
55,"6fpHuy",Residential,120,Active,"2023-01-01",20
56,httP6h,Residential,120,Active,"2023-01-01",0
57,TR63mg,Residential,120,Active,"2023-01-01",5
58,Y0853s,Roam,80,Active,"2023-01-01",10
59,Y8Ti7w,Business,250,Active,"2023-01-01",20
60,IbS4Jv,Roam,80,Active,"2023-01-01",0
61,ORV4Rk,Residential,120,Paused,"2023-01-01",5
62,MGZreL,Residential,120,Active,"2023-01-01",10
63,"3Zya5n",Residential,120,Active,"2023-01-01",20
64,nsL8gH,Roam,80,Paused,"2023-01-01",0
65,xy3MHH,Residential,120,Active,"2023-01-01",5
66,L9Tm5q,Roam,80,Active,"2023-01-01",10
67,pyJYNc,Residential,120,Cancelled,"2023-01-01",20
68,"6IOTV7",Residential,120,Cancelled,"2023-01-01",0
69,qCSffG,Residential,120,Paused,"2023-01-01",5
70,xOYi73,Residential,120,Active,"2023-01-01",10
71,nXxONu,Residential,120,Active,"2023-01-01",20
72,"7SUOoi",Roam,80,Active,"2023-01-01",0
73,QgWroE,Residential,120,Active,"2023-01-01",5
74,yaOtM2,Business,250,Active,"2023-01-01",10
75,"2P2jwN",Roam,80,Active,"2023-01-01",20
76,OdO8ry,Residential,120,Active,"2023-01-01",0
77,P75BG6,Residential,120,Active,"2023-01-01",5
78,kBHl5n,Business,250,Active,"2023-01-01",10
79,yUgFYn,Roam,80,Active,"2023-01-01",20
80,z0AUs9,Residential,120,Active,"2023-01-01",0
81,rDyMN0,Residential,120,Active,"2023-01-01",5
82,pkrBuD,Residential,120,Active,"2023-01-01",10
83,MwOWYL,Residential,120,Active,"2023-01-01",20
84,I9oLuP,Roam,80,Active,"2023-01-01",0
85,"3CsYCn",Residential,120,Active,"2023-01-01",5
86,PhVnLt,Business,250,Active,"2023-01-01",10
87,PCwAxZ,Residential,120,Paused,"2023-01-01",20
88,f1P0AR,Residential,120,Active,"2023-01-01",0
89,"2wXE9t",Business,250,Active,"2023-01-01",5
90,mLuuqh,Business,250,Paused,"2023-01-01",10
91,p3VHQp,Roam,80,Cancelled,"2023-01-01",20
92,dnAGzq,Roam,80,Active,"2023-01-01",0
93,"6awrym",Residential,120,Paused,"2023-01-01",5
94,wYFlJE,Residential,120,Active,"2023-01-01",10
95,fHEc3u,Mini,50,Cancelled,"2023-01-01",20
96,E8rBJ7,Roam,80,Active,"2023-01-01",0
97,ghnnf7,Mini,50,Active,"2023-01-01",5
98,"3AFkV0",Roam,80,Active,"2023-01-01",10
99,qOtjx5,Business,250,Paused,"2023-01-01",20
100,g5PPMV,Residential,120,Active,"2023-01-01",0
101,v65NLv,Residential,120,Active,"2023-01-01",5
102,xEbKR5,Roam,80,Cancelled,"2023-01-01",10
103,ci98Ga,Residential,120,Active,"2023-01-01",20
104,"9IyDN8",Residential,120,Active,"2023-01-01",0
105,pMRMH8,Residential,120,Active,"2023-01-01",5
106,"9Ue591",Residential,120,Active,"2023-01-01",10
107,s5BoEp,Roam,80,Active,"2023-01-01",20
108,xqL2FU,Residential,120,Active,"2023-01-01",0
109,puhOOQ,Residential,120,Active,"2023-01-01",5
110,hlqsF0,Residential,120,Active,"2023-01-01",10
111,YuBtiM,Residential,120,Active,"2023-01-01",20
112,epx4yf,Roam,80,Cancelled,"2023-01-01",0
113,VLAOyN,Roam,80,Paused,"2023-01-01",5
114,WOefQr,Residential,120,Active,"2023-01-01",10
115,hslQFz,Mini,50,Active,"2023-01-01",20
116,hD6J7n,Residential,120,Active,"2023-01-01",0
117,LudYZn,Roam,80,Active,"2023-01-01",5
118,xjWAT9,Residential,120,Paused,"2023-01-01",10
119,iH8RRe,Mini,50,Active,"2023-01-01",20
120,sYiJDK,Roam,80,Active,"2023-01-01",0
121,eLh7Vy,Mini,50,Active,"2023-01-01",5
122,FmCgxl,Residential,120,Active,"2023-01-01",10
123,hBrwCA,Residential,120,Active,"2023-01-01",20
124,"6J9LBT",Roam,80,Active,"2023-01-01",0
